parcode,trial,rt_mili,choice,item_left,item_right,subjidx,rt,response
0,0,2009,-1,1.1,0.95,0,2.009,1
0,1,3371,-1,2,1.7,0,3.371,1
0,2,1700,1,1.1,2.3,0,1.7,1
0,3,7466,1,1.25,1.4,0,7.466,1
0,4,1889,1,2,2.3,0,1.889,1
0,5,2227,1,1.7,1.85,0,2.227,1
0,6,4259,-1,1.85,0.65,0,4.259,1
0,7,3505,-1,1.55,0.8,0,3.505,1
0,8,2548,-1,1.55,1.1,0,2.548,1
0,9,3226,1,1.1,2,0,3.226,1
0,10,4604,-1,1.85,1.1,0,4.604,1
0,11,6333,-1,0.95,2,0,6.333,0
0,12,5716,-1,0.95,0.8,0,5.716,1
0,13,3562,-1,2,1.1,0,3.562,1
0,14,2447,-1,1.85,1.1,0,2.447,1
0,15,2120,1,1.25,1.85,0,2.12,1
0,16,6932,1,2,2,0,6.932,1
0,17,4274,1,1.25,1.7,0,4.274,1
0,18,6854,-1,1.7,1.4,0,6.854,1
0,19,6698,-1,1.1,1.1,0,6.698,1
0,20,2913,-1,1.1,0.95,0,2.913,1
0,21,4513,-1,1.7,1.55,0,4.513,1
0,22,2110,1,1.85,2,0,2.11,1
0,23,3385,-1,1.7,1.4,0,3.385,1
0,24,2456,1,1.4,2,0,2.456,1
0,25,2136,-1,1.85,1.7,0,2.136,1
0,26,7010,1,1.1,1.55,0,7.01,1
0,27,4784,-1,0.95,0.65,0,4.784,1
0,28,2697,1,1.1,1.55,0,2.697,1
0,29,4654,1,1.25,1.55,0,4.654,1
0,30,1916,1,1.55,2.3,0,1.916,1
0,31,2033,-1,1.7,1.25,0,2.033,1
0,32,1441,1,0.95,1.85,0,1.441,1
0,33,3579,1,0.65,1.25,0,3.579,1
0,34,7377,1,1.7,2,0,7.377,1
0,35,2921,-1,2.3,1.7,0,2.921,1
0,36,6398,-1,1.55,2.3,0,6.398,0
0,37,2919,1,0.65,1.7,0,2.919,1
0,38,4737,-1,1.55,1.7,0,4.737,0
0,39,3459,-1,1.7,1.1,0,3.459,1
0,40,3454,1,1.85,1.85,0,3.454,1
0,41,2478,1,1.7,1.55,0,2.478,0
0,42,1728,1,1.1,1.85,0,1.728,1
0,43,2014,-1,1.85,1.7,0,2.014,1
0,44,519,1,0.95,1.1,0,0.519,1
0,45,5492,1,1.1,1.25,0,5.492,1
0,46,3216,1,1.1,1.7,0,3.216,1
0,47,2185,-1,1.4,1.1,0,2.185,1
0,48,1467,-1,2.3,2,0,1.467,1
0,49,1707,-1,1.7,0.65,0,1.707,1
0,50,1472,1,1.1,1.55,0,1.472,1
0,51,2425,-1,2,1.1,0,2.425,1
0,52,5621,1,2.3,1.55,0,5.621,0
0,53,3216,1,0.95,1.55,0,3.216,1
0,54,3167,1,0.95,2.3,0,3.167,1
0,55,1939,-1,1.1,0.35,0,1.939,1
0,56,2066,-1,1.55,1.4,0,2.066,1
