,parcode,rt,choice,trial,item_left,item_right
3127,32,7753,-1,7,1.4250164640056329,-1.319961742521271
3128,32,4712,1,8,1.730014042508622,2.3400091995146
3129,32,3571,1,9,-0.709966585515292,-1.7266251805252568
3130,32,4094,1,10,0.20502614999367566,1.4250164640056324
3131,32,12624,-1,11,0.5100237284966652,-0.4049690070123032
3132,32,4819,1,12,-0.09997142850931343,-0.7099665855152925
3133,32,2567,1,13,-0.40496900701230276,-0.7099665855152925
3134,32,10731,-1,14,0.5100237284966652,0.5100237284966648
3135,32,3303,-1,15,-1.7266251805252562,-0.4049690070123032
3136,32,5300,-1,16,-0.709966585515292,2.3400091995146
3137,32,9697,1,17,0.5100237284966652,0.20502614999367522
3138,32,3098,-1,18,-1.7266251805252562,0.5100237284966648
3139,32,14014,-1,19,-0.40496900701230276,0.8150213069996538
3140,32,13465,-1,20,0.20502614999367566,-1.4216276020222673
3141,32,3587,1,21,-0.40496900701230276,0.5100237284966648
3142,32,3738,1,22,0.20502614999367566,-0.7099665855152925
3143,32,1965,1,23,-0.40496900701230276,-0.09997142850931387
3144,32,2459,1,24,-0.40496900701230276,-0.7099665855152925
3145,32,4585,1,25,-0.40496900701230276,0.5100237284966648
3146,32,5450,1,26,0.5100237284966652,-0.4049690070123032
3147,32,3348,-1,27,0.20502614999367566,-0.4049690070123032
3148,32,2413,1,28,-0.40496900701230276,-0.4049690070123032
3149,32,11206,-1,29,1.4250164640056329,0.5100237284966648
3150,32,2865,1,30,2.3400091995146006,0.5100237284966648
3151,32,3809,-1,31,0.20502614999367566,0.20502614999367522
3152,32,4112,1,32,0.5100237284966652,1.4250164640056324
3153,32,3101,1,33,0.20502614999367566,-1.7266251805252568
3154,32,8950,-1,34,1.4250164640056329,-0.4049690070123032
3155,32,3522,1,35,1.4250164640056329,-0.09997142850931387
3156,32,1510,1,36,0.5100237284966652,-0.8116324450162888
3157,32,19246,-1,37,-0.40496900701230276,-0.4049690070123032
3158,32,2955,1,38,-0.40496900701230276,-0.09997142850931387
3159,32,1193,-1,39,-0.09997142850931343,0.5100237284966648
3160,32,6231,-1,40,-1.7266251805252562,-0.7099665855152925
3161,32,3011,-1,41,-1.7266251805252562,-1.319961742521271
3162,32,2409,1,42,0.20502614999367566,0.5100237284966648
3163,32,2435,-1,43,0.5100237284966652,-0.4049690070123032
3164,32,4272,-1,44,-0.709966585515292,1.4250164640056324
3165,32,1771,-1,45,-0.709966585515292,2.3400091995146
3166,32,1553,1,46,-1.7266251805252562,-1.7266251805252568
3167,32,2131,1,47,2.3400091995146006,-0.7099665855152925
3168,32,4454,-1,48,1.4250164640056329,-0.4049690070123032
