value_left,value_right
1.237880962,-1.136137321
-1.81442826,-0.457846383
-0.457846383,0.559590024
-0.118700914,-1.81442826
-1.136137321,-1.136137321
1.9161719,0.559590024
-0.118700914,0.898735493
1.237880962,1.9161719
-0.118700914,-0.457846383
-1.136137321,0.898735493
0.898735493,0.898735493
0.220444555,-1.136137321
-0.796991852,0.898735493
-0.457846383,-1.136137321
0.559590024,-0.118700914
-1.136137321,-0.457846383
-0.796991852,-0.457846383
-0.118700914,1.577026431
-0.457846383,0.220444555
-0.457846383,0.898735493
0.898735493,-0.118700914
1.237880962,1.577026431
-0.457846383,-0.118700914
-0.457846383,0.220444555
0.559590024,-0.457846383
-1.136137321,-1.81442826
-0.796991852,1.9161719
-0.796991852,0.898735493
-0.796991852,-1.136137321
0.898735493,-1.81442826
0.898735493,-1.136137321
0.559590024,0.220444555
0.559590024,-0.796991852
0.898735493,1.237880962
1.237880962,-0.796991852
0.898735493,-0.118700914
-0.457846383,-0.796991852
1.9161719,-0.457846383
-0.118700914,-1.81442826
0.898735493,1.237880962
-0.118700914,0.898735493
0.220444555,-0.457846383
0.898735493,-0.457846383
-0.796991852,1.237880962
1.237880962,-1.81442826
-1.136137321,-1.136137321
-1.136137321,-0.118700914
-1.136137321,0.898735493
-1.136137321,0.898735493
-1.81442826,0.898735493
-1.81442826,-1.136137321
1.237880962,0.898735493
2.594462838,-0.796991852
-1.81442826,-0.118700914
-0.457846383,-1.136137321
-0.796991852,-0.796991852
-1.81442826,-0.118700914
-0.118700914,-1.136137321
-1.136137321,0.220444555
-0.796991852,-0.457846383
-0.118700914,0.898735493
0.898735493,-0.796991852
0.898735493,2.594462838
-0.118700914,0.220444555
0.559590024,-1.136137321
0.898735493,-0.118700914
0.220444555,0.898735493
0.559590024,0.898735493
-0.118700914,0.559590024
0.559590024,-1.136137321
0.220444555,0.559590024
-0.118700914,-0.118700914
-0.796991852,-1.136137321
-0.457846383,-0.118700914
-0.796991852,-0.118700914
-0.457846383,1.9161719
0.898735493,-1.136137321
0.898735493,0.559590024
1.237880962,-0.118700914
0.898735493,-0.796991852
2.594462838,0.898735493
-0.796991852,-0.796991852
-0.118700914,-0.457846383
-1.136137321,-0.796991852
-1.136137321,-0.457846383
0.898735493,0.559590024
0.220444555,-0.118700914
-1.136137321,1.237880962
-1.136137321,0.559590024
0.898735493,0.898735493
-0.796991852,0.898735493
-0.118700914,-0.118700914
-0.118700914,1.237880962
-1.136137321,-0.457846383
-0.457846383,-1.136137321
0.898735493,-1.136137321
1.577026431,-0.118700914
1.9161719,-0.796991852
0.559590024,1.9161719
0.898735493,-1.136137321
0.898735493,-0.796991852
1.237880962,0.898735493
-1.136137321,-0.118700914
-1.136137321,-0.796991852
-1.136137321,0.898735493
1.577026431,1.237880962
1.9161719,1.237880962
0.559590024,-0.457846383
-0.796991852,2.594462838
-1.81442826,1.237880962
-0.457846383,-1.81442826
-0.457846383,-0.796991852
-0.457846383,0.559590024
-0.118700914,-1.136137321
0.559590024,0.898735493
0.220444555,-0.457846383
0.898735493,0.220444555
-1.136137321,0.559590024
-0.796991852,0.559590024
-0.118700914,-0.796991852
0.698746441,-0.597896439
