,Iteration,d,sigma,theta,min_NLL
0,1,0.001,0.05,0.9,12888.817570044303
1,2,0.001,0.05,1.0,12882.119830761732
2,3,0.0015,0.05,0.8999999999999999,12859.185648932547
3,4,0.0015,0.05,0.8499999999999999,12858.795578405683
4,5,0.0015,0.05,0.8499999999999999,12858.795578405683
