Part,Trial,1stFixation,1stFixationTime,LastFixation,LastFixationTime,firstFixValue,firstFixFam,lastFixValue,lastFixFam,fixatNum,middleFixNum,mostPopularFix,numMostPopularFix,mostPopularFixMed,numMostPopularFixMed,middleFixTime,middleFixTimeAvg,TotalTime
0,48,1,600,1,72,1.55,5.0,1.55,5.0,9,7,1,4,2.0,4.0,1876,268.0,2548
0,49,1,340,2,60,1.1,1.33,2.0,5.0,11,9,1,6,1.0,6.0,2826,314.0,3226
0,50,1,366,1,339,1.85,4.58,1.85,4.58,15,13,1,7,2.0,7.0,3899,299.9230769230769,4604
0,51,1,304,1,206,0.95,1.08,0.95,1.08,20,18,1,13,1.0,12.0,5823,323.5,6333
0,52,1,332,1,598,0.95,3.83,0.95,3.83,17,15,1,10,1.0,9.0,4786,319.06666666666666,5716
0,53,1,294,1,238,2.0,4.33,2.0,4.33,11,9,1,7,1.0,6.0,3030,336.6666666666667,3562
0,54,1,148,1,442,1.85,5.0,1.85,5.0,7,5,1,4,1.0,3.0,1857,371.4,2447
0,55,1,192,2,79,1.25,3.08,1.85,2.58,8,6,2,4,1.0,3.0,1849,308.1666666666667,2120
0,56,1,200,2,352,2.0,4.33,2.0,5.0,24,22,1,14,1.0,14.0,6380,290.0,6932
0,57,1,260,2,156,1.25,0.08,1.7,3.33,13,11,1,6,1.0,6.0,3858,350.72727272727275,4274
0,58,1,306,1,101,1.7,4.58,1.7,4.58,18,16,1,10,1.0,9.0,6447,402.9375,6854
0,59,1,368,1,68,1.1,4.33,1.1,4.33,23,21,1,15,1.0,14.0,6262,298.1904761904762,6698
0,60,1,330,1,361,1.1,4.08,1.1,4.08,10,8,1,5,1.0,4.0,2222,277.75,2913
0,61,1,284,1,450,1.7,5.0,1.7,5.0,15,13,1,9,1.0,8.0,3779,290.6923076923077,4513
0,62,1,246,2,437,1.85,2.58,2.0,4.83,7,5,1,3,1.0,3.0,1427,285.4,2110
0,63,1,172,1,633,1.7,4.33,1.7,4.33,11,9,2,5,2.0,5.0,2580,286.6666666666667,3385
0,64,1,286,2,151,1.4,3.83,2.0,5.0,9,7,2,5,2.0,4.0,2019,288.42857142857144,2456
0,65,1,292,1,395,1.85,5.0,1.85,5.0,7,5,1,4,1.0,3.0,1449,289.8,2136
0,66,1,144,2,312,1.1,0.33,1.55,2.58,21,19,1,10,1.0,10.0,6554,344.94736842105266,7010
0,67,1,330,1,46,0.95,1.08,0.95,1.08,15,13,1,7,2.0,7.0,4408,339.0769230769231,4784
0,68,1,188,2,129,1.1,4.83,1.55,3.33,11,9,2,6,2.0,5.0,2380,264.44444444444446,2697
0,69,1,142,2,144,1.25,2.83,1.55,1.08,14,12,2,8,2.0,7.0,4368,364.0,4654
0,70,1,402,2,25,1.55,2.83,2.3,5.0,6,4,2,3,1.0,2.0,1489,372.25,1916
0,71,1,316,1,390,1.7,5.0,1.7,5.0,7,5,1,4,1.0,3.0,1327,265.4,2033
0,72,1,556,2,302,0.95,3.58,1.85,5.0,4,2,2,2,,,0,0.0,1441
0,73,1,276,2,82,0.65,0.0,1.25,4.08,12,10,1,6,1.0,6.0,3221,322.1,3579
0,74,1,314,1,270,1.7,5.0,1.7,5.0,25,23,1,14,1.0,13.0,6793,295.3478260869565,7377
0,75,1,358,1,291,2.3,4.83,2.3,4.83,9,7,1,5,1.0,4.0,2272,324.57142857142856,2921
0,76,1,92,1,107,1.55,5.0,1.55,5.0,22,20,1,13,1.0,12.0,6199,309.95,6398
0,77,1,64,2,189,0.65,0.0,1.7,3.83,10,8,2,5,1.0,4.0,2666,333.25,2919
0,78,0,254,1,533,,,1.55,3.33,13,11,1,6,1.0,5.0,3950,359.09090909090907,4737
0,79,1,404,1,184,1.7,3.58,1.7,3.58,11,9,1,5,2.0,5.0,2871,319.0,3459
0,80,1,228,2,213,1.55,3.33,1.1,4.83,8,6,2,4,1.0,3.0,1907,317.8333333333333,2348
0,81,1,198,1,168,1.4,3.58,1.4,3.58,10,8,1,7,1.0,6.0,2443,305.375,2809
0,82,1,374,1,488,1.1,0.33,1.1,0.33,6,4,1,4,1.0,3.0,1130,282.5,1992
0,83,1,189,2,219,1.85,5.0,0.95,3.58,6,4,2,3,1.0,2.0,1126,281.5,1534
0,84,1,356,1,341,0.95,4.58,0.95,4.58,8,6,1,6,1.0,5.0,2326,387.6666666666667,3023
0,85,1,382,1,68,2.0,5.0,2.0,5.0,12,10,1,7,1.0,6.0,3002,300.2,3452
0,86,1,366,2,197,2.0,4.83,1.55,2.58,14,12,2,7,1.0,6.0,3398,283.1666666666667,3961
0,87,1,372,2,403,2.0,5.0,1.1,1.33,9,7,1,4,1.0,4.0,1861,265.85714285714283,2636
0,88,1,64,2,539,2.0,4.75,1.1,4.08,6,4,1,3,1.0,3.0,1295,323.75,1898
0,89,1,348,2,131,2.3,5.0,1.1,4.75,7,5,1,3,1.0,3.0,1246,249.2,1725
0,90,1,346,2,154,2.3,5.0,2.0,4.33,13,11,1,6,1.0,6.0,3836,348.72727272727275,4336
0,91,1,338,1,488,0.95,3.58,0.95,3.58,7,5,1,4,1.0,3.0,1211,242.2,2037
0,92,1,376,1,83,0.35,4.33,0.35,4.33,8,6,1,5,1.0,4.0,2020,336.6666666666667,2479
0,93,1,330,2,526,2.3,5.0,1.55,2.83,11,9,1,5,1.0,5.0,2533,281.44444444444446,3389
0,94,1,272,1,87,1.7,4.58,1.7,4.58,9,7,1,5,1.0,4.0,1980,282.85714285714283,2339
0,95,1,368,1,216,1.85,4.08,1.85,4.08,12,10,1,8,1.0,7.0,3025,302.5,3609
0,96,1,338,2,170,2.3,4.83,1.55,5.0,22,20,1,12,1.0,12.0,6863,343.15,7371
0,97,1,187,1,167,1.55,4.33,1.55,4.33,9,7,1,5,1.0,4.0,2166,309.42857142857144,2520
0,98,1,478,2,241,2.0,5.0,1.4,3.83,6,4,2,3,1.0,2.0,1042,260.5,1761
0,99,1,430,2,177,1.85,4.58,1.7,3.33,7,5,2,4,2.0,3.0,1986,397.2,2593
0,100,1,170,2,206,1.55,2.58,1.1,0.33,17,15,1,11,1.0,11.0,5396,359.73333333333335,5772
0,101,1,168,1,410,1.1,4.33,1.1,4.33,9,7,1,4,2.0,4.0,1367,195.28571428571428,1945
0,102,1,392,2,428,1.1,5.0,0.35,4.33,5,3,1,2,1.0,2.0,801,267.0,1621
0,103,1,336,2,439,1.55,5.0,1.4,3.83,10,8,1,5,1.0,5.0,2177,272.125,2952
0,104,1,346,1,157,1.25,4.58,1.25,4.58,9,7,1,5,1.0,4.0,2222,317.42857142857144,2725
0,105,1,390,1,343,1.1,4.83,1.1,4.83,10,8,1,6,1.0,5.0,1858,232.25,2591
0,106,1,382,2,441,1.4,3.08,1.1,0.83,11,9,1,5,1.0,5.0,2700,300.0,3523
0,107,1,334,1,465,1.25,4.58,1.25,4.58,21,19,1,12,1.0,11.0,6283,330.6842105263158,7082
0,108,1,336,2,279,1.55,1.08,1.25,2.83,13,11,2,6,1.0,5.0,3451,313.72727272727275,4066
0,109,0,198,1,580,,,1.25,4.08,9,7,1,5,1.0,4.0,1824,260.57142857142856,2602
0,110,1,164,2,242,1.4,3.58,1.25,0.08,11,9,1,5,1.0,5.0,2833,314.77777777777777,3239
0,111,1,340,1,457,1.55,2.83,1.55,2.83,6,4,1,3,1.0,2.0,1146,286.5,1943
0,112,1,308,1,186,1.85,4.83,1.85,4.83,12,10,1,8,1.0,7.0,3133,313.3,3627
0,113,0,212,1,482,,,1.7,3.83,16,14,1,8,1.0,7.0,5551,396.5,6245
0,114,1,408,2,181,1.85,5.0,1.55,3.83,13,11,1,7,1.0,7.0,3985,362.27272727272725,4574
0,115,1,304,2,538,1.7,3.83,0.65,0.0,12,10,1,6,1.0,6.0,3485,348.5,4327
0,116,2,238,1,257,2.0,4.83,1.1,5.0,21,19,1,12,1.0,11.0,5752,302.7368421052632,6247
0,117,1,192,1,689,1.1,4.75,1.1,4.75,8,6,1,4,1.0,3.0,1472,245.33333333333334,2353
0,118,1,202,1,729,0.95,3.83,0.95,3.83,15,13,1,9,1.0,8.0,3827,294.38461538461536,4758
0,119,1,298,1,831,1.1,4.08,1.1,4.08,8,6,1,5,1.0,4.0,1586,264.3333333333333,2715
0,120,1,242,2,283,1.85,4.08,1.85,5.0,9,7,1,4,1.0,4.0,2929,418.42857142857144,3454
0,121,1,410,2,428,1.7,3.83,1.55,3.33,7,5,1,3,1.0,3.0,1640,328.0,2478
0,122,1,424,2,81,1.1,4.33,1.85,4.83,7,5,2,4,2.0,3.0,1223,244.6,1728
0,123,1,172,1,438,1.85,4.58,1.85,4.58,8,6,1,4,1.0,3.0,1404,234.0,2014
0,124,1,178,1,84,0.95,3.58,0.95,3.58,3,1,1,2,,,0,0.0,519
0,125,1,312,2,486,1.1,4.75,1.25,3.08,17,15,1,9,1.0,9.0,4694,312.93333333333334,5492
0,126,1,366,2,394,1.1,0.33,1.7,3.58,10,8,1,5,1.0,5.0,2456,307.0,3216
0,127,1,422,1,501,1.4,3.08,1.4,3.08,6,4,1,3,1.0,2.0,1262,315.5,2185
0,128,1,226,1,57,2.3,5.0,2.3,5.0,7,5,1,4,1.0,3.0,1184,236.8,1467
0,129,1,350,1,359,1.7,3.83,1.7,3.83,6,4,1,3,1.0,2.0,998,249.5,1707
0,130,2,276,2,382,1.55,5.0,1.55,5.0,6,4,2,3,1.0,2.0,814,203.5,1472
0,131,1,372,1,275,2.0,5.0,2.0,5.0,8,6,1,4,1.0,3.0,1778,296.3333333333333,2425
0,132,0,214,2,178,,,1.55,5.0,16,14,2,8,2.0,7.0,5229,373.5,5621
0,133,1,314,2,573,0.95,3.83,1.55,3.83,10,8,1,6,1.0,6.0,2329,291.125,3216
0,134,1,210,2,434,0.95,4.58,2.3,5.0,11,9,1,5,1.0,5.0,2523,280.3333333333333,3167
0,135,1,406,1,414,1.1,5.0,1.1,5.0,6,4,1,3,1.0,2.0,1119,279.75,1939
0,136,1,316,1,400,1.55,5.0,1.55,5.0,6,4,1,3,1.0,2.0,1350,337.5,2066
0,137,1,314,2,168,1.25,4.58,2.0,4.33,5,3,1,2,1.0,2.0,1079,359.6666666666667,1561
0,138,1,450,1,151,1.85,5.0,1.85,5.0,7,5,1,4,1.0,3.0,1436,287.2,2037
0,139,1,224,2,161,1.85,4.83,2.0,4.83,13,11,1,6,1.0,6.0,3235,294.09090909090907,3620
0,140,1,278,2,90,0.35,4.33,1.85,5.0,5,3,1,2,1.0,2.0,867,289.0,1235
0,141,1,346,2,71,1.4,3.58,1.7,4.33,11,9,1,6,1.0,6.0,3309,367.6666666666667,3726
0,142,1,376,2,100,1.25,4.58,1.1,4.33,6,4,2,3,1.0,2.0,1288,322.0,1764
0,143,2,233,1,403,1.4,3.83,2.0,5.0,12,10,1,6,1.0,5.0,3380,338.0,4016
0,144,2,244,0,311,2.0,4.83,,,8,6,1,3,1.0,3.0,1810,301.6666666666667,2365
