,Part,TrialN,PairID,L_Item,L_Value,R_Item,R_Value,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,L_IA_DT,R_IA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,FamLeft,FamRight,Tot_Fam,Tot_Val,FamChosen,FamUnChosen,ValChosen,ValUnChosen,Correct,ZtotFam,ZtotVal,ZValCh,ZValUnCh,ZFamCh,ZFamUnCh,ztGSF,ztDDT,absDDT,ConfSplit,GSFMedSplit,DDTMedSplit,absDDTMedSplit,,higher,lower,,higher,lower,,higher,lower
12,1,13,35,41_jelly_babies_berry_mix.png,1.85,40_nestle_rolo.png,1.1,1,3117,72,3481,2,75,1182,1257,3,2,-0.75,-1.210307296,0.75,0.682202515,-0.016205609,-0.034085331,4.58,4.08,8.66,2.95,4.08,4.58,1.1,1.85,1,0.505845236,-0.071287268,-0.901639161,0.77885878,0.191363013,0.562403042,0.335643363,0.102309718,0.102309718,0,1,0,1,,0,0.102309718,,0,-0.016205609,,0.335643363,0
13,1,14,45,51_smarties.png,1.7,43_mccoys_steak_crisps.png,2,1,10424,28,2052,2,-991,5054,4063,7,2,0.3,0.484122918,0.3,-0.570822512,-3.307190886,4.565742548,5,5,10,3.7,5,5,2,1.7,0,1.1358012,1.116833873,1.15925035,0.443865756,0.851256085,0.854304728,3.319139926,-1.405462069,1.405462069,0,0,0,1,,0,-1.405462069,,0,-3.307190886,,0,3.319139926
14,1,15,58,5_caramello.png,1.25,34_hobnob_flapjack.png,1.55,0,2754,70,1479,2,-379,1313,934,2,1,0.3,0.484122918,0.3,-0.570822512,-0.165795849,-0.262597377,2.83,1.08,3.91,2.8,2.83,1.08,1.25,1.55,1,-1.727207619,-0.308911497,-0.558157576,0.108872733,-0.705230834,-1.870111015,-0.410230777,-0.539836991,0.539836991,0,0,1,1,,-0.539836991,0,,0,-0.165795849,,0,-0.410230777
15,1,16,41,11_lindt_orange.png,2,59_crunchie.png,1.7,1,5836,58,2950,2,76,2458,2534,5,2,-0.3,-0.484122918,0.3,-0.570822512,-1.063337288,1.67755173,4.75,5,9.75,3.7,5,4.75,1.7,2,1,1.018272102,1.116833873,0.47228718,1.113851804,0.851256085,0.680553724,1.827391645,0.103724138,0.103724138,0,0,0,1,,0,0.103724138,,0,-1.063337288,,0,1.827391645
16,1,17,42,63_kitkat.png,1.85,19_pistachios.png,1.7,1,3931,56,3017,2,1039,1100,2139,3,2,-0.15,-0.242061459,0.15,-0.988497522,-1.212927528,0.478335621,5,4.33,9.33,3.55,4.33,5,1.7,1.85,1,0.820823218,0.879209645,0.47228718,0.77885878,0.370681783,0.854304728,0.335643363,1.465810659,1.465810659,0,1,0,1,,0,1.465810659,,0,-1.212927528,,0.335643363,0
17,1,18,52,42_dairy_milk_fruit_and_nut.png,1.55,38_milkybar.png,0.8,1,3602,72,1979,2,470,1290,1760,1,2,-0.75,-1.210307296,0.75,0.682202515,-0.016205609,0.271226907,4.33,4.33,8.66,2.35,4.33,4.33,0.8,1.55,1,0.505845236,-1.021784182,-1.588602331,0.108872733,0.370681783,0.388652038,-1.156104918,0.661005643,0.661005643,0,1,0,1,,0,0.661005643,,0,-0.016205609,,-1.156104918,0
18,1,19,49,52_discos_salt_vinegar.png,1.7,60_caramel_rice_crisps.png,1.4,0,5674,68,2473,2,946,1996,2942,4,1,-0.3,-0.484122918,0.3,-0.570822512,-0.315386089,1.575571147,4.58,3.08,7.66,3.1,4.58,3.08,1.7,1.4,0,0.035728846,0.16633696,0.47228718,-0.226120291,0.550000552,-0.480102983,1.081517504,1.334269593,1.334269593,0,1,0,1,,0,1.334269593,,0,-0.315386089,,1.081517504,0
19,1,20,33,26_yorkie.png,1.7,58_walnut_whip.png,1.1,1,2567,78,3611,2,945,512,1457,1,2,-0.6,-0.968245837,0.6,0.264527506,0.43256511,-0.380315704,3.58,0.33,3.91,2.8,0.33,3.58,1.1,1.7,1,-1.727207619,-0.308911497,-0.901639161,0.443865756,-2.498418529,-0.132600975,-1.156104918,1.332855173,1.332855173,1,1,0,1,,0,1.332855173,,0.43256511,0,,-1.156104918,0
20,1,21,7,30_starburst_original.png,1.1,62_cadbury_wispa.png,1.55,0,2097,70,3321,2,-452,1032,580,2,1,0.45,0.726184377,0.45,-0.153147503,-0.165795849,-0.676185295,4.83,3.33,8.16,2.65,4.83,3.33,1.1,1.55,1,0.270787041,-0.546535725,-0.901639161,0.108872733,0.729319322,-0.306351979,-0.410230777,-0.643089655,0.643089655,0,1,0,1,,0,-0.643089655,,0,-0.165795849,,-0.410230777,0
21,1,22,38,56_marshmallows.png,0.95,38_milkybar.png,0.8,0,3641,56,2259,2,-244,1672,1428,2,1,-0.15,-0.242061459,0.15,-0.988497522,-1.212927528,0.295777788,3.83,4.33,8.16,1.75,3.83,4.33,0.95,0.8,0,0.270787041,-1.972281095,-1.245120746,-1.566092386,0.012044244,0.388652038,-0.410230777,-0.348890282,0.348890282,0,0,0,1,,0,-0.348890282,,0,-1.212927528,,0,-0.410230777
