,Iteration,d,sigma,theta,min_NLL
0,1,0.001,0.05,0.9,13094.441806697232
1,2,0.001,0.05,1.0,13091.7797500049
2,3,0.001,0.05,1.0,13091.7797500049
3,4,0.001,0.05,1.0,13091.779750004898
4,5,0.0011250000000000001,0.0475,1.0,13086.172338346685
